/Users/georgetrump/Visual Studio Code/dishify/.venv/lib/python3.13/site-packages/qdrant_client/qdrant_remote.py:282: UserWarning: Qdrant client version 1.18.0 is incompatible with server version 1.12.4. Major versions should match and minor version difference must not exceed 1. Set check_compatibility=False to skip version check.
  show_warning(
CSV: /Users/georgetrump/Visual Studio Code/dishify/data/dataset_full_annotated.csv
Collection: recipes_full
Qdrant URL: http://localhost:6333
Embedding model: sentence-transformers/all-MiniLM-L6-v2
Start row: 135,500
Dry run: False
Qdrant timeout: 120s
Upload batch size: 50
Upload retries: 3
Skip upload errors: True
Total rows: 2,230,132
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 17981.82it/s]
/Users/georgetrump/Visual Studio Code/dishify/backend/scripts/index_full_recipes.py:67: FutureWarning: The `get_sentence_embedding_dimension` method has been renamed to `get_embedding_dimension`.
  self.vector_size = embedding_model.get_sentence_embedding_dimension()
Rows 140,500/2,230,132 | batch=5,000 in 5.0s | avg=755.5 rows/s | skipped_upload_points=0
Rows 295,500/2,230,132 | batch=5,000 in 6.2s | avg=791.5 rows/s | skipped_upload_points=0
Rows 300,500/2,230,132 | batch=5,000 in 4.9s | avg=794.4 rows/s | skipped_upload_points=0
Rows 305,500/2,230,132 | batch=5,000 in 7.0s | avg=789.2 rows/s | skipped_upload_points=0
Rows 310,500/2,230,132 | batch=5,000 in 7.0s | avg=783.9 rows/s | skipped_upload_points=0
Rows 315,500/2,230,132 | batch=5,000 in 6.1s | avg=782.4 rows/s | skipped_upload_points=0
Rows 320,500/2,230,132 | batch=5,000 in 5.1s | avg=784.3 rows/s | skipped_upload_points=0
Rows 325,500/2,230,132 | batch=5,000 in 7.9s | avg=776.9 rows/s | skipped_upload_points=0
Rows 330,500/2,230,132 | batch=5,000 in 8.1s | avg=768.7 rows/s | skipped_upload_points=0
Rows 335,500/2,230,132 | batch=5,000 in 9.3s | avg=758.4 rows/s | skipped_upload_points=0
Rows 340,500/2,230,132 | batch=5,000 in 8.8s | avg=749.4 rows/s | skipped_upload_points=0
Rows 345,500/2,230,132 | batch=5,000 in 7.1s | avg=745.8 rows/s | skipped_upload_points=0
Rows 350,500/2,230,132 | batch=5,000 in 7.3s | avg=742.8 rows/s | skipped_upload_points=0
Rows 355,500/2,230,132 | batch=5,000 in 9.4s | avg=734.4 rows/s | skipped_upload_points=0
Rows 360,500/2,230,132 | batch=5,000 in 8.3s | avg=728.6 rows/s | skipped_upload_points=0
Rows 365,500/2,230,132 | batch=5,000 in 8.1s | avg=724.3 rows/s | skipped_upload_points=0
Rows 370,500/2,230,132 | batch=5,000 in 8.1s | avg=719.5 rows/s | skipped_upload_points=0
Rows 375,500/2,230,132 | batch=5,000 in 7.9s | avg=715.7 rows/s | skipped_upload_points=0
Rows 380,500/2,230,132 | batch=5,000 in 7.8s | avg=712.2 rows/s | skipped_upload_points=0
Rows 385,500/2,230,132 | batch=5,000 in 6.9s | avg=711.0 rows/s | skipped_upload_points=0
Rows 390,500/2,230,132 | batch=5,000 in 4.5s | avg=714.5 rows/s | skipped_upload_points=0
Rows 395,500/2,230,132 | batch=5,000 in 6.3s | avg=714.3 rows/s | skipped_upload_points=0
Rows 400,500/2,230,132 | batch=5,000 in 8.4s | avg=710.0 rows/s | skipped_upload_points=0
Rows 405,500/2,230,132 | batch=5,000 in 7.1s | avg=708.4 rows/s | skipped_upload_points=0
Rows 410,500/2,230,132 | batch=5,000 in 6.9s | avg=707.5 rows/s | skipped_upload_points=0
Rows 415,500/2,230,132 | batch=5,000 in 6.7s | avg=706.5 rows/s | skipped_upload_points=0
Rows 420,500/2,230,132 | batch=5,000 in 7.1s | avg=705.4 rows/s | skipped_upload_points=0
Rows 425,500/2,230,132 | batch=5,000 in 6.6s | avg=705.1 rows/s | skipped_upload_points=0
Rows 430,500/2,230,132 | batch=5,000 in 4.3s | avg=708.4 rows/s | skipped_upload_points=0
Rows 435,500/2,230,132 | batch=5,000 in 4.2s | avg=712.2 rows/s | skipped_upload_points=0
Rows 440,500/2,230,132 | batch=5,000 in 6.6s | avg=711.7 rows/s | skipped_upload_points=0
Rows 445,500/2,230,132 | batch=5,000 in 6.2s | avg=711.7 rows/s | skipped_upload_points=0
Rows 450,500/2,230,132 | batch=5,000 in 6.8s | avg=710.7 rows/s | skipped_upload_points=0
Rows 455,500/2,230,132 | batch=5,000 in 7.1s | avg=709.2 rows/s | skipped_upload_points=0
Rows 460,500/2,230,132 | batch=5,000 in 6.7s | avg=708.8 rows/s | skipped_upload_points=0
Rows 465,500/2,230,132 | batch=5,000 in 6.8s | avg=707.9 rows/s | skipped_upload_points=0
Rows 470,500/2,230,132 | batch=5,000 in 4.8s | avg=710.3 rows/s | skipped_upload_points=0
Rows 475,500/2,230,132 | batch=5,000 in 4.3s | avg=713.3 rows/s | skipped_upload_points=0
Rows 480,500/2,230,132 | batch=5,000 in 7.4s | avg=711.6 rows/s | skipped_upload_points=0
Rows 485,500/2,230,132 | batch=5,000 in 6.6s | avg=711.3 rows/s | skipped_upload_points=0
Rows 490,500/2,230,132 | batch=5,000 in 7.0s | avg=710.2 rows/s | skipped_upload_points=0
Rows 495,500/2,230,132 | batch=5,000 in 6.7s | avg=709.7 rows/s | skipped_upload_points=0
Rows 500,500/2,230,132 | batch=5,000 in 7.0s | avg=708.5 rows/s | skipped_upload_points=0
Rows 505,500/2,230,132 | batch=5,000 in 7.3s | avg=707.2 rows/s | skipped_upload_points=0
Rows 510,500/2,230,132 | batch=5,000 in 6.0s | avg=707.6 rows/s | skipped_upload_points=0
Rows 515,500/2,230,132 | batch=5,000 in 4.2s | avg=710.4 rows/s | skipped_upload_points=0
Rows 520,500/2,230,132 | batch=5,000 in 4.3s | avg=713.0 rows/s | skipped_upload_points=0
Rows 525,500/2,230,132 | batch=5,000 in 7.9s | avg=710.9 rows/s | skipped_upload_points=0
Rows 530,500/2,230,132 | batch=5,000 in 6.4s | avg=710.8 rows/s | skipped_upload_points=0
Rows 535,500/2,230,132 | batch=5,000 in 6.1s | avg=710.8 rows/s | skipped_upload_points=0
Rows 540,500/2,230,132 | batch=5,000 in 6.2s | avg=710.9 rows/s | skipped_upload_points=0
Rows 545,500/2,230,132 | batch=5,000 in 6.4s | avg=710.7 rows/s | skipped_upload_points=0
Rows 550,500/2,230,132 | batch=5,000 in 6.0s | avg=710.9 rows/s | skipped_upload_points=0
Rows 555,500/2,230,132 | batch=5,000 in 4.9s | avg=712.7 rows/s | skipped_upload_points=0
Rows 560,500/2,230,132 | batch=5,000 in 4.1s | avg=715.3 rows/s | skipped_upload_points=0
Rows 565,500/2,230,132 | batch=5,000 in 5.1s | avg=716.9 rows/s | skipped_upload_points=0
Rows 570,500/2,230,132 | batch=5,000 in 6.9s | avg=716.0 rows/s | skipped_upload_points=0
Rows 575,500/2,230,132 | batch=5,000 in 6.0s | avg=716.0 rows/s | skipped_upload_points=0
Rows 580,500/2,230,132 | batch=5,000 in 6.2s | avg=716.1 rows/s | skipped_upload_points=0
Rows 585,500/2,230,132 | batch=5,000 in 6.4s | avg=715.7 rows/s | skipped_upload_points=0
Rows 590,500/2,230,132 | batch=5,000 in 6.2s | avg=715.8 rows/s | skipped_upload_points=0
Rows 595,500/2,230,132 | batch=5,000 in 6.1s | avg=716.0 rows/s | skipped_upload_points=0
Rows 600,500/2,230,132 | batch=5,000 in 5.0s | avg=717.4 rows/s | skipped_upload_points=0
Rows 605,500/2,230,132 | batch=5,000 in 4.3s | avg=719.7 rows/s | skipped_upload_points=0
Rows 610,500/2,230,132 | batch=5,000 in 7.2s | avg=718.6 rows/s | skipped_upload_points=0
Rows 615,500/2,230,132 | batch=5,000 in 8.5s | avg=716.2 rows/s | skipped_upload_points=0
Rows 620,500/2,230,132 | batch=5,000 in 7.3s | avg=715.0 rows/s | skipped_upload_points=0
Rows 625,500/2,230,132 | batch=5,000 in 7.4s | avg=713.8 rows/s | skipped_upload_points=0
Rows 630,500/2,230,132 | batch=5,000 in 6.7s | avg=713.4 rows/s | skipped_upload_points=0
Rows 635,500/2,230,132 | batch=5,000 in 6.8s | avg=712.6 rows/s | skipped_upload_points=0
Rows 640,500/2,230,132 | batch=5,000 in 7.5s | avg=711.3 rows/s | skipped_upload_points=0
Rows 645,500/2,230,132 | batch=5,000 in 5.8s | avg=711.6 rows/s | skipped_upload_points=0
Rows 650,500/2,230,132 | batch=5,000 in 4.4s | avg=713.6 rows/s | skipped_upload_points=0
Rows 655,500/2,230,132 | batch=5,000 in 5.2s | avg=714.7 rows/s | skipped_upload_points=0
Rows 660,500/2,230,132 | batch=5,000 in 6.1s | avg=714.9 rows/s | skipped_upload_points=0
Rows 665,500/2,230,132 | batch=5,000 in 6.8s | avg=714.4 rows/s | skipped_upload_points=0
Rows 670,500/2,230,132 | batch=5,000 in 6.6s | avg=713.9 rows/s | skipped_upload_points=0
Rows 675,500/2,230,132 | batch=5,000 in 5.9s | avg=714.2 rows/s | skipped_upload_points=0
Rows 680,500/2,230,132 | batch=5,000 in 6.8s | avg=713.7 rows/s | skipped_upload_points=0
Rows 685,500/2,230,132 | batch=5,000 in 6.5s | avg=713.5 rows/s | skipped_upload_points=0
Rows 690,500/2,230,132 | batch=5,000 in 6.4s | avg=713.3 rows/s | skipped_upload_points=0
Rows 695,500/2,230,132 | batch=5,000 in 6.4s | avg=713.0 rows/s | skipped_upload_points=0
Rows 700,500/2,230,132 | batch=5,000 in 6.4s | avg=712.9 rows/s | skipped_upload_points=0
Rows 705,500/2,230,132 | batch=5,000 in 6.5s | avg=712.7 rows/s | skipped_upload_points=0
Rows 710,500/2,230,132 | batch=5,000 in 5.6s | avg=713.3 rows/s | skipped_upload_points=0
Rows 715,500/2,230,132 | batch=5,000 in 4.3s | avg=715.0 rows/s | skipped_upload_points=0
Rows 720,500/2,230,132 | batch=5,000 in 5.5s | avg=715.7 rows/s | skipped_upload_points=0
Rows 725,500/2,230,132 | batch=5,000 in 4.5s | avg=717.4 rows/s | skipped_upload_points=0
Rows 730,500/2,230,132 | batch=5,000 in 7.3s | avg=716.2 rows/s | skipped_upload_points=0
Rows 735,500/2,230,132 | batch=5,000 in 7.3s | avg=715.4 rows/s | skipped_upload_points=0
Rows 740,500/2,230,132 | batch=5,000 in 7.2s | avg=714.5 rows/s | skipped_upload_points=0
Rows 745,500/2,230,132 | batch=5,000 in 6.6s | avg=714.1 rows/s | skipped_upload_points=0
Rows 750,500/2,230,132 | batch=5,000 in 6.5s | avg=714.0 rows/s | skipped_upload_points=0
Rows 755,500/2,230,132 | batch=5,000 in 7.5s | avg=712.8 rows/s | skipped_upload_points=0
Rows 760,500/2,230,132 | batch=5,000 in 7.2s | avg=712.0 rows/s | skipped_upload_points=0
Rows 765,500/2,230,132 | batch=5,000 in 6.9s | avg=711.4 rows/s | skipped_upload_points=0
Rows 770,500/2,230,132 | batch=5,000 in 6.6s | avg=711.2 rows/s | skipped_upload_points=0
Rows 775,500/2,230,132 | batch=5,000 in 6.0s | avg=711.4 rows/s | skipped_upload_points=0
Rows 780,500/2,230,132 | batch=5,000 in 6.7s | avg=711.1 rows/s | skipped_upload_points=0
Rows 785,500/2,230,132 | batch=5,000 in 6.5s | avg=711.0 rows/s | skipped_upload_points=0
Rows 790,500/2,230,132 | batch=5,000 in 5.9s | avg=711.3 rows/s | skipped_upload_points=0
Rows 795,500/2,230,132 | batch=5,000 in 5.3s | avg=712.0 rows/s | skipped_upload_points=0
Rows 800,500/2,230,132 | batch=5,000 in 4.4s | avg=713.5 rows/s | skipped_upload_points=0
Rows 805,500/2,230,132 | batch=5,000 in 4.2s | avg=715.1 rows/s | skipped_upload_points=0
Rows 810,500/2,230,132 | batch=5,000 in 5.3s | avg=715.9 rows/s | skipped_upload_points=0
Rows 815,500/2,230,132 | batch=5,000 in 6.2s | avg=716.0 rows/s | skipped_upload_points=0
Rows 820,500/2,230,132 | batch=5,000 in 6.8s | avg=715.6 rows/s | skipped_upload_points=0
Rows 825,500/2,230,132 | batch=5,000 in 7.1s | avg=715.0 rows/s | skipped_upload_points=0
Rows 830,500/2,230,132 | batch=5,000 in 6.1s | avg=715.0 rows/s | skipped_upload_points=0
Rows 835,500/2,230,132 | batch=5,000 in 6.3s | avg=715.0 rows/s | skipped_upload_points=0
Rows 840,500/2,230,132 | batch=5,000 in 7.4s | avg=714.1 rows/s | skipped_upload_points=0
Rows 845,500/2,230,132 | batch=5,000 in 6.4s | avg=714.0 rows/s | skipped_upload_points=0
Rows 850,500/2,230,132 | batch=5,000 in 6.3s | avg=714.0 rows/s | skipped_upload_points=0
Rows 855,500/2,230,132 | batch=5,000 in 6.4s | avg=713.8 rows/s | skipped_upload_points=0
Rows 860,500/2,230,132 | batch=5,000 in 6.2s | avg=713.9 rows/s | skipped_upload_points=0
Rows 865,500/2,230,132 | batch=5,000 in 6.3s | avg=713.8 rows/s | skipped_upload_points=0
Rows 870,500/2,230,132 | batch=5,000 in 6.4s | avg=713.7 rows/s | skipped_upload_points=0
Rows 875,500/2,230,132 | batch=5,000 in 6.2s | avg=713.8 rows/s | skipped_upload_points=0
Rows 880,500/2,230,132 | batch=5,000 in 6.3s | avg=713.7 rows/s | skipped_upload_points=0
Rows 885,500/2,230,132 | batch=5,000 in 6.2s | avg=713.8 rows/s | skipped_upload_points=0
Rows 890,500/2,230,132 | batch=5,000 in 6.4s | avg=713.6 rows/s | skipped_upload_points=0
Rows 895,500/2,230,132 | batch=5,000 in 6.2s | avg=713.7 rows/s | skipped_upload_points=0
Rows 900,500/2,230,132 | batch=5,000 in 5.4s | avg=714.2 rows/s | skipped_upload_points=0
Rows 905,500/2,230,132 | batch=5,000 in 5.0s | avg=715.0 rows/s | skipped_upload_points=0
Rows 910,500/2,230,132 | batch=5,000 in 5.4s | avg=715.6 rows/s | skipped_upload_points=0
Rows 915,500/2,230,132 | batch=5,000 in 5.1s | avg=716.3 rows/s | skipped_upload_points=0
Rows 920,500/2,230,132 | batch=5,000 in 7.6s | avg=715.3 rows/s | skipped_upload_points=0
Rows 925,500/2,230,132 | batch=5,000 in 7.6s | avg=714.4 rows/s | skipped_upload_points=0
Rows 930,500/2,230,132 | batch=5,000 in 7.2s | avg=713.6 rows/s | skipped_upload_points=0
Rows 935,500/2,230,132 | batch=5,000 in 6.7s | avg=713.2 rows/s | skipped_upload_points=0
Rows 940,500/2,230,132 | batch=5,000 in 6.9s | avg=712.8 rows/s | skipped_upload_points=0
Rows 945,500/2,230,132 | batch=5,000 in 8.1s | avg=711.5 rows/s | skipped_upload_points=0
Rows 950,500/2,230,132 | batch=5,000 in 7.1s | avg=711.0 rows/s | skipped_upload_points=0
Rows 955,500/2,230,132 | batch=5,000 in 7.0s | avg=710.6 rows/s | skipped_upload_points=0
Rows 960,500/2,230,132 | batch=5,000 in 8.1s | avg=709.4 rows/s | skipped_upload_points=0
Rows 965,500/2,230,132 | batch=5,000 in 7.8s | avg=708.4 rows/s | skipped_upload_points=0
Rows 970,500/2,230,132 | batch=5,000 in 7.5s | avg=707.6 rows/s | skipped_upload_points=0
Rows 975,500/2,230,132 | batch=5,000 in 7.8s | avg=706.6 rows/s | skipped_upload_points=0
Rows 980,500/2,230,132 | batch=5,000 in 8.7s | avg=705.1 rows/s | skipped_upload_points=0
Rows 985,500/2,230,132 | batch=5,000 in 7.7s | avg=704.3 rows/s | skipped_upload_points=0
Rows 990,500/2,230,132 | batch=5,000 in 7.6s | avg=703.4 rows/s | skipped_upload_points=0
Rows 995,500/2,230,132 | batch=5,000 in 7.2s | avg=702.9 rows/s | skipped_upload_points=0
Rows 1,000,500/2,230,132 | batch=5,000 in 7.2s | avg=702.4 rows/s | skipped_upload_points=0
Rows 1,005,500/2,230,132 | batch=5,000 in 6.1s | avg=702.5 rows/s | skipped_upload_points=0
Rows 1,010,500/2,230,132 | batch=5,000 in 5.7s | avg=702.8 rows/s | skipped_upload_points=0
Rows 1,015,500/2,230,132 | batch=5,000 in 6.2s | avg=703.0 rows/s | skipped_upload_points=0
Rows 1,020,500/2,230,132 | batch=5,000 in 6.4s | avg=702.9 rows/s | skipped_upload_points=0
Rows 1,025,500/2,230,132 | batch=5,000 in 8.1s | avg=701.8 rows/s | skipped_upload_points=0
Rows 1,030,500/2,230,132 | batch=5,000 in 7.5s | avg=701.0 rows/s | skipped_upload_points=0
Rows 1,035,500/2,230,132 | batch=5,000 in 7.7s | avg=700.1 rows/s | skipped_upload_points=0
Rows 1,040,500/2,230,132 | batch=5,000 in 8.6s | avg=698.9 rows/s | skipped_upload_points=0
Rows 1,045,500/2,230,132 | batch=5,000 in 8.5s | avg=697.6 rows/s | skipped_upload_points=0
Rows 1,050,500/2,230,132 | batch=5,000 in 8.0s | avg=696.6 rows/s | skipped_upload_points=0
Rows 1,055,500/2,230,132 | batch=5,000 in 7.2s | avg=696.2 rows/s | skipped_upload_points=0
Rows 1,060,500/2,230,132 | batch=5,000 in 7.2s | avg=695.7 rows/s | skipped_upload_points=0
Rows 1,065,500/2,230,132 | batch=5,000 in 7.2s | avg=695.2 rows/s | skipped_upload_points=0
Rows 1,070,500/2,230,132 | batch=5,000 in 8.1s | avg=694.3 rows/s | skipped_upload_points=0
Rows 1,075,500/2,230,132 | batch=5,000 in 7.8s | avg=693.5 rows/s | skipped_upload_points=0
Rows 1,080,500/2,230,132 | batch=5,000 in 7.4s | avg=692.9 rows/s | skipped_upload_points=0
Rows 1,085,500/2,230,132 | batch=5,000 in 7.4s | avg=692.3 rows/s | skipped_upload_points=0
Rows 1,090,500/2,230,132 | batch=5,000 in 7.5s | avg=691.7 rows/s | skipped_upload_points=0
Rows 1,095,500/2,230,132 | batch=5,000 in 8.3s | avg=690.6 rows/s | skipped_upload_points=0
Rows 1,100,500/2,230,132 | batch=5,000 in 7.5s | avg=690.0 rows/s | skipped_upload_points=0
Rows 1,105,500/2,230,132 | batch=5,000 in 8.1s | avg=689.1 rows/s | skipped_upload_points=0
Rows 1,110,500/2,230,132 | batch=5,000 in 7.8s | avg=688.3 rows/s | skipped_upload_points=0
Rows 1,115,500/2,230,132 | batch=5,000 in 6.5s | avg=688.1 rows/s | skipped_upload_points=0
Rows 1,120,500/2,230,132 | batch=5,000 in 5.7s | avg=688.4 rows/s | skipped_upload_points=0
Rows 1,125,500/2,230,132 | batch=5,000 in 5.2s | avg=688.9 rows/s | skipped_upload_points=0
Rows 1,130,500/2,230,132 | batch=5,000 in 5.4s | avg=689.4 rows/s | skipped_upload_points=0
Rows 1,135,500/2,230,132 | batch=5,000 in 5.9s | avg=689.7 rows/s | skipped_upload_points=0
Rows 1,140,500/2,230,132 | batch=5,000 in 6.8s | avg=689.5 rows/s | skipped_upload_points=0
Rows 1,145,500/2,230,132 | batch=5,000 in 6.9s | avg=689.3 rows/s | skipped_upload_points=0
Rows 1,150,500/2,230,132 | batch=5,000 in 6.4s | avg=689.2 rows/s | skipped_upload_points=0
Rows 1,155,500/2,230,132 | batch=5,000 in 6.9s | avg=688.9 rows/s | skipped_upload_points=0
Rows 1,160,500/2,230,132 | batch=5,000 in 7.2s | avg=688.5 rows/s | skipped_upload_points=0
Rows 1,165,500/2,230,132 | batch=5,000 in 7.6s | avg=687.9 rows/s | skipped_upload_points=0
Rows 1,170,500/2,230,132 | batch=5,000 in 7.7s | avg=687.2 rows/s | skipped_upload_points=0
Rows 1,175,500/2,230,132 | batch=5,000 in 6.8s | avg=687.1 rows/s | skipped_upload_points=0
Rows 1,180,500/2,230,132 | batch=5,000 in 7.2s | avg=686.6 rows/s | skipped_upload_points=0
Rows 1,185,500/2,230,132 | batch=5,000 in 7.4s | avg=686.2 rows/s | skipped_upload_points=0
Rows 1,190,500/2,230,132 | batch=5,000 in 7.2s | avg=685.7 rows/s | skipped_upload_points=0
Rows 1,195,500/2,230,132 | batch=5,000 in 7.6s | avg=685.1 rows/s | skipped_upload_points=0
Rows 1,200,500/2,230,132 | batch=5,000 in 8.3s | avg=684.2 rows/s | skipped_upload_points=0
Rows 1,205,500/2,230,132 | batch=5,000 in 7.7s | avg=683.5 rows/s | skipped_upload_points=0
Rows 1,210,500/2,230,132 | batch=5,000 in 7.8s | avg=682.8 rows/s | skipped_upload_points=0
Rows 1,215,500/2,230,132 | batch=5,000 in 8.0s | avg=682.1 rows/s | skipped_upload_points=0
Rows 1,220,500/2,230,132 | batch=5,000 in 7.9s | avg=681.4 rows/s | skipped_upload_points=0
Rows 1,225,500/2,230,132 | batch=5,000 in 7.4s | avg=680.8 rows/s | skipped_upload_points=0
Rows 1,230,500/2,230,132 | batch=5,000 in 7.0s | avg=680.6 rows/s | skipped_upload_points=0
Rows 1,235,500/2,230,132 | batch=5,000 in 6.5s | avg=680.6 rows/s | skipped_upload_points=0
Rows 1,240,500/2,230,132 | batch=5,000 in 5.6s | avg=680.9 rows/s | skipped_upload_points=0
Rows 1,245,500/2,230,132 | batch=5,000 in 7.1s | avg=680.7 rows/s | skipped_upload_points=0
Rows 1,250,500/2,230,132 | batch=5,000 in 5.6s | avg=681.0 rows/s | skipped_upload_points=0
Rows 1,255,500/2,230,132 | batch=5,000 in 6.9s | avg=680.8 rows/s | skipped_upload_points=0
Rows 1,260,500/2,230,132 | batch=5,000 in 8.1s | avg=680.1 rows/s | skipped_upload_points=0
Rows 1,265,500/2,230,132 | batch=5,000 in 8.7s | avg=679.2 rows/s | skipped_upload_points=0
Rows 1,270,500/2,230,132 | batch=5,000 in 10.1s | avg=677.1 rows/s | skipped_upload_points=0
Rows 1,275,500/2,230,132 | batch=5,000 in 8.3s | avg=676.4 rows/s | skipped_upload_points=0
Rows 1,280,500/2,230,132 | batch=5,000 in 10.1s | avg=674.9 rows/s | skipped_upload_points=0
Rows 1,285,500/2,230,132 | batch=5,000 in 8.1s | avg=674.1 rows/s | skipped_upload_points=0
Rows 1,290,500/2,230,132 | batch=5,000 in 8.2s | avg=673.5 rows/s | skipped_upload_points=0
Rows 1,295,500/2,230,132 | batch=5,000 in 10.7s | avg=671.8 rows/s | skipped_upload_points=0
Rows 1,300,500/2,230,132 | batch=5,000 in 9.8s | avg=670.4 rows/s | skipped_upload_points=0
Rows 1,305,500/2,230,132 | batch=5,000 in 9.9s | avg=669.0 rows/s | skipped_upload_points=0
Rows 1,310,500/2,230,132 | batch=5,000 in 8.3s | avg=668.2 rows/s | skipped_upload_points=0
Rows 1,315,500/2,230,132 | batch=5,000 in 8.2s | avg=667.5 rows/s | skipped_upload_points=0
Rows 1,320,500/2,230,132 | batch=5,000 in 7.8s | avg=667.1 rows/s | skipped_upload_points=0
Rows 1,325,500/2,230,132 | batch=5,000 in 8.3s | avg=666.4 rows/s | skipped_upload_points=0
Rows 1,330,500/2,230,132 | batch=5,000 in 9.3s | avg=665.4 rows/s | skipped_upload_points=0
Rows 1,335,500/2,230,132 | batch=5,000 in 8.0s | avg=664.9 rows/s | skipped_upload_points=0
Rows 1,340,500/2,230,132 | batch=5,000 in 6.9s | avg=664.8 rows/s | skipped_upload_points=0
Rows 1,345,500/2,230,132 | batch=5,000 in 6.1s | avg=665.0 rows/s | skipped_upload_points=0
Rows 1,350,500/2,230,132 | batch=5,000 in 5.6s | avg=665.4 rows/s | skipped_upload_points=0
Rows 1,355,500/2,230,132 | batch=5,000 in 7.2s | avg=665.2 rows/s | skipped_upload_points=0
Rows 1,360,500/2,230,132 | batch=5,000 in 5.9s | avg=665.5 rows/s | skipped_upload_points=0
Rows 1,365,500/2,230,132 | batch=5,000 in 6.1s | avg=665.7 rows/s | skipped_upload_points=0
